areacd,similarlist
K02000001,E06000018|E07000044|E07000138|E07000126|E07000008
K03000001,E06000018|E07000044|E07000138|E07000126|E07000008
K04000001,E06000018|E07000044|E07000138|E07000126|E07000008
E92000001,E06000018|E07000044|E07000138|E07000126|E07000008
N92000002,E06000018|E07000044|E07000138|E07000126|E07000008
S92000003,E06000018|E07000044|E07000138|E07000126|E07000008
W92000004,E06000018|E07000044|E07000138|E07000126|E07000008
E12000001,E06000018|E07000044|E07000138|E07000126|E07000008
E12000002,E06000018|E07000044|E07000138|E07000126|E07000008
E12000003,E06000018|E07000044|E07000138|E07000126|E07000008
E12000004,E06000018|E07000044|E07000138|E07000126|E07000008
E12000005,E06000018|E07000044|E07000138|E07000126|E07000008
E12000006,E06000018|E07000044|E07000138|E07000126|E07000008
E12000007,E06000018|E07000044|E07000138|E07000126|E07000008
E12000008,E06000018|E07000044|E07000138|E07000126|E07000008
E12000009,E06000018|E07000044|E07000138|E07000126|E07000008
E10000003,E06000018|E07000044|E07000138|E07000126|E07000008
E10000006,E06000018|E07000044|E07000138|E07000126|E07000008
E10000007,E06000018|E07000044|E07000138|E07000126|E07000008
E10000008,E06000018|E07000044|E07000138|E07000126|E07000008
E10000011,E06000018|E07000044|E07000138|E07000126|E07000008
E10000012,E06000018|E07000044|E07000138|E07000126|E07000008
E10000013,E06000018|E07000044|E07000138|E07000126|E07000008
E10000014,E06000018|E07000044|E07000138|E07000126|E07000008
E10000015,E06000018|E07000044|E07000138|E07000126|E07000008
E10000016,E06000018|E07000044|E07000138|E07000126|E07000008
E10000017,E06000018|E07000044|E07000138|E07000126|E07000008
E10000018,E06000018|E07000044|E07000138|E07000126|E07000008
E10000019,E06000018|E07000044|E07000138|E07000126|E07000008
E10000020,E06000018|E07000044|E07000138|E07000126|E07000008
E10000023,E06000018|E07000044|E07000138|E07000126|E07000008
E10000024,E06000018|E07000044|E07000138|E07000126|E07000008
E10000025,E06000018|E07000044|E07000138|E07000126|E07000008
E10000027,E06000018|E07000044|E07000138|E07000126|E07000008
E10000028,E06000018|E07000044|E07000138|E07000126|E07000008
E10000029,E06000018|E07000044|E07000138|E07000126|E07000008
E10000030,E06000018|E07000044|E07000138|E07000126|E07000008
E10000031,E06000018|E07000044|E07000138|E07000126|E07000008
E10000032,E06000018|E07000044|E07000138|E07000126|E07000008
E10000034,E06000018|E07000044|E07000138|E07000126|E07000008
E06000001,E06000018|E07000044|E07000138|E07000126|E07000008
E06000002,E06000018|E07000044|E07000138|E07000126|E07000008
E06000003,E06000018|E07000044|E07000138|E07000126|E07000008
E06000004,E06000018|E07000044|E07000138|E07000126|E07000008
E06000005,E06000018|E07000044|E07000138|E07000126|E07000008
E06000006,E06000018|E07000044|E07000138|E07000126|E07000008
E06000007,E06000018|E07000044|E07000138|E07000126|E07000008
E06000008,E06000018|E07000044|E07000138|E07000126|E07000008
E06000009,E06000018|E07000044|E07000138|E07000126|E07000008
E06000010,E06000018|E07000044|E07000138|E07000126|E07000008
E06000011,E06000018|E07000044|E07000138|E07000126|E07000008
E06000012,E06000018|E07000044|E07000138|E07000126|E07000008
E06000013,E06000018|E07000044|E07000138|E07000126|E07000008
E06000014,E06000018|E07000044|E07000138|E07000126|E07000008
E06000015,E06000018|E07000044|E07000138|E07000126|E07000008
E06000016,E06000018|E07000044|E07000138|E07000126|E07000008
E06000017,E06000018|E07000044|E07000138|E07000126|E07000008
E06000018,E06000018|E07000044|E07000138|E07000126|E07000008
E06000019,E06000018|E07000044|E07000138|E07000126|E07000008
E06000020,E06000018|E07000044|E07000138|E07000126|E07000008
E06000021,E06000018|E07000044|E07000138|E07000126|E07000008
E06000022,E06000018|E07000044|E07000138|E07000126|E07000008
E06000023,E06000018|E07000044|E07000138|E07000126|E07000008
E06000024,E06000018|E07000044|E07000138|E07000126|E07000008
E06000025,E06000018|E07000044|E07000138|E07000126|E07000008
E06000026,E06000018|E07000044|E07000138|E07000126|E07000008
E06000027,E06000018|E07000044|E07000138|E07000126|E07000008
E06000030,E06000018|E07000044|E07000138|E07000126|E07000008
E06000031,E06000018|E07000044|E07000138|E07000126|E07000008
E06000032,E06000018|E07000044|E07000138|E07000126|E07000008
E06000033,E06000018|E07000044|E07000138|E07000126|E07000008
E06000034,E06000018|E07000044|E07000138|E07000126|E07000008
E06000035,E06000018|E07000044|E07000138|E07000126|E07000008
E06000036,E06000018|E07000044|E07000138|E07000126|E07000008
E06000037,E06000018|E07000044|E07000138|E07000126|E07000008
E06000038,E06000018|E07000044|E07000138|E07000126|E07000008
E06000039,E06000018|E07000044|E07000138|E07000126|E07000008
E06000040,E06000018|E07000044|E07000138|E07000126|E07000008
E06000041,E06000018|E07000044|E07000138|E07000126|E07000008
E06000042,E06000018|E07000044|E07000138|E07000126|E07000008
E06000043,E06000018|E07000044|E07000138|E07000126|E07000008
E06000044,E06000018|E07000044|E07000138|E07000126|E07000008
E06000045,E06000018|E07000044|E07000138|E07000126|E07000008
E06000046,E06000018|E07000044|E07000138|E07000126|E07000008
E06000047,E06000018|E07000044|E07000138|E07000126|E07000008
E06000049,E06000018|E07000044|E07000138|E07000126|E07000008
E06000050,E06000018|E07000044|E07000138|E07000126|E07000008
E06000051,E06000018|E07000044|E07000138|E07000126|E07000008
E06000052,E06000018|E07000044|E07000138|E07000126|E07000008
E06000053,E06000018|E07000044|E07000138|E07000126|E07000008
E06000054,E06000018|E07000044|E07000138|E07000126|E07000008
E06000055,E06000018|E07000044|E07000138|E07000126|E07000008
E06000056,E06000018|E07000044|E07000138|E07000126|E07000008
E06000057,E06000018|E07000044|E07000138|E07000126|E07000008
E06000058,E06000018|E07000044|E07000138|E07000126|E07000008
E06000059,E06000018|E07000044|E07000138|E07000126|E07000008
E06000060,E06000018|E07000044|E07000138|E07000126|E07000008
E06000061,E06000018|E07000044|E07000138|E07000126|E07000008
E06000062,E06000018|E07000044|E07000138|E07000126|E07000008
E07000008,E06000018|E07000044|E07000138|E07000126|E07000008
E07000009,E06000018|E07000044|E07000138|E07000126|E07000008
E07000010,E06000018|E07000044|E07000138|E07000126|E07000008
E07000011,E06000018|E07000044|E07000138|E07000126|E07000008
E07000012,E06000018|E07000044|E07000138|E07000126|E07000008
E07000026,E06000018|E07000044|E07000138|E07000126|E07000008
E07000027,E06000018|E07000044|E07000138|E07000126|E07000008
E07000028,E06000018|E07000044|E07000138|E07000126|E07000008
E07000029,E06000018|E07000044|E07000138|E07000126|E07000008
E07000030,E06000018|E07000044|E07000138|E07000126|E07000008
E07000031,E06000018|E07000044|E07000138|E07000126|E07000008
E07000032,E06000018|E07000044|E07000138|E07000126|E07000008
E07000033,E06000018|E07000044|E07000138|E07000126|E07000008
E07000034,E06000018|E07000044|E07000138|E07000126|E07000008
E07000035,E06000018|E07000044|E07000138|E07000126|E07000008
E07000036,E06000018|E07000044|E07000138|E07000126|E07000008
E07000037,E06000018|E07000044|E07000138|E07000126|E07000008
E07000038,E06000018|E07000044|E07000138|E07000126|E07000008
E07000039,E06000018|E07000044|E07000138|E07000126|E07000008
E07000040,E06000018|E07000044|E07000138|E07000126|E07000008
E07000041,E06000018|E07000044|E07000138|E07000126|E07000008
E07000042,E06000018|E07000044|E07000138|E07000126|E07000008
E07000043,E06000018|E07000044|E07000138|E07000126|E07000008
E07000044,E06000018|E07000044|E07000138|E07000126|E07000008
E07000045,E06000018|E07000044|E07000138|E07000126|E07000008
E07000046,E06000018|E07000044|E07000138|E07000126|E07000008
E07000047,E06000018|E07000044|E07000138|E07000126|E07000008
E07000061,E06000018|E07000044|E07000138|E07000126|E07000008
E07000062,E06000018|E07000044|E07000138|E07000126|E07000008
E07000063,E06000018|E07000044|E07000138|E07000126|E07000008
E07000064,E06000018|E07000044|E07000138|E07000126|E07000008
E07000065,E06000018|E07000044|E07000138|E07000126|E07000008
E07000066,E06000018|E07000044|E07000138|E07000126|E07000008
E07000067,E06000018|E07000044|E07000138|E07000126|E07000008
E07000068,E06000018|E07000044|E07000138|E07000126|E07000008
E07000069,E06000018|E07000044|E07000138|E07000126|E07000008
E07000070,E06000018|E07000044|E07000138|E07000126|E07000008
E07000071,E06000018|E07000044|E07000138|E07000126|E07000008
E07000072,E06000018|E07000044|E07000138|E07000126|E07000008
E07000073,E06000018|E07000044|E07000138|E07000126|E07000008
E07000074,E06000018|E07000044|E07000138|E07000126|E07000008
E07000075,E06000018|E07000044|E07000138|E07000126|E07000008
E07000076,E06000018|E07000044|E07000138|E07000126|E07000008
E07000077,E06000018|E07000044|E07000138|E07000126|E07000008
E07000078,E06000018|E07000044|E07000138|E07000126|E07000008
E07000079,E06000018|E07000044|E07000138|E07000126|E07000008
E07000080,E06000018|E07000044|E07000138|E07000126|E07000008
E07000081,E06000018|E07000044|E07000138|E07000126|E07000008
E07000082,E06000018|E07000044|E07000138|E07000126|E07000008
E07000083,E06000018|E07000044|E07000138|E07000126|E07000008
E07000084,E06000018|E07000044|E07000138|E07000126|E07000008
E07000085,E06000018|E07000044|E07000138|E07000126|E07000008
E07000086,E06000018|E07000044|E07000138|E07000126|E07000008
E07000087,E06000018|E07000044|E07000138|E07000126|E07000008
E07000088,E06000018|E07000044|E07000138|E07000126|E07000008
E07000089,E06000018|E07000044|E07000138|E07000126|E07000008
E07000090,E06000018|E07000044|E07000138|E07000126|E07000008
E07000091,E06000018|E07000044|E07000138|E07000126|E07000008
E07000092,E06000018|E07000044|E07000138|E07000126|E07000008
E07000093,E06000018|E07000044|E07000138|E07000126|E07000008
E07000094,E06000018|E07000044|E07000138|E07000126|E07000008
E07000095,E06000018|E07000044|E07000138|E07000126|E07000008
E07000096,E06000018|E07000044|E07000138|E07000126|E07000008
E07000098,E06000018|E07000044|E07000138|E07000126|E07000008
E07000099,E06000018|E07000044|E07000138|E07000126|E07000008
E07000102,E06000018|E07000044|E07000138|E07000126|E07000008
E07000103,E06000018|E07000044|E07000138|E07000126|E07000008
E07000105,E06000018|E07000044|E07000138|E07000126|E07000008
E07000106,E06000018|E07000044|E07000138|E07000126|E07000008
E07000107,E06000018|E07000044|E07000138|E07000126|E07000008
E07000108,E06000018|E07000044|E07000138|E07000126|E07000008
E07000109,E06000018|E07000044|E07000138|E07000126|E07000008
E07000110,E06000018|E07000044|E07000138|E07000126|E07000008
E07000111,E06000018|E07000044|E07000138|E07000126|E07000008
E07000112,E06000018|E07000044|E07000138|E07000126|E07000008
E07000113,E06000018|E07000044|E07000138|E07000126|E07000008
E07000114,E06000018|E07000044|E07000138|E07000126|E07000008
E07000115,E06000018|E07000044|E07000138|E07000126|E07000008
E07000116,E06000018|E07000044|E07000138|E07000126|E07000008
