areacd,urban,coastalTown,imd
E07000029,Predominantly Rural,Y,2
E07000030,Predominantly Rural,N,3
E07000031,Predominantly Rural,N,4
E07000032,Predominantly Urban,N,3
E07000033,Urban with Significant Rural,N,2
E07000034,Predominantly Urban,N,2
E07000035,Predominantly Rural,N,5
E07000036,Predominantly Urban,N,3
E07000037,Predominantly Rural,N,4
E07000038,Predominantly Urban,N,3
E07000039,Urban with Significant Rural,N,4
E07000040,Predominantly Rural,Y,4
E07000041,Predominantly Urban,N,3
E07000042,Predominantly Rural,N,3
E07000043,Predominantly Rural,Y,3
E07000044,Predominantly Rural,Y,4
E07000045,Predominantly Rural,Y,4
E07000046,Predominantly Rural,Y,2
E07000047,Predominantly Rural,N,3
E07000061,Predominantly Urban,Y,2
E07000062,Predominantly Urban,Y,1
E07000063,Urban with Significant Rural,Y,4
E07000064,Predominantly Rural,Y,3
E07000065,Predominantly Rural,Y,4
E07000066,Predominantly Urban,N,2
E07000067,Predominantly Rural,N,4
E07000068,Urban with Significant Rural,N,5
E07000069,Predominantly Urban,Y,3
E07000070,Predominantly Urban,N,4
E07000071,Urban with Significant Rural,Y,3
E07000072,Urban with Significant Rural,N,4
E07000073,Predominantly Urban,N,2
E07000074,Predominantly Rural,N,4
E07000075,Predominantly Urban,Y,5
E07000076,Predominantly Rural,Y,1
E07000077,Predominantly Rural,N,5
E07000078,Predominantly Urban,N,4
E07000079,Predominantly Rural,N,5
E07000080,Predominantly Rural,N,3
E07000081,Predominantly Urban,N,2
E07000082,Urban with Significant Rural,N,5
E07000083,Predominantly Rural,N,5
E07000084,Urban with Significant Rural,N,4
E07000085,Predominantly Rural,N,5
E07000086,Predominantly Urban,Y,5
E07000087,Predominantly Urban,Y,5
E07000088,Predominantly Urban,Y,3
E07000089,Urban with Significant Rural,N,5
E07000090,Predominantly Urban,Y,2
E07000091,Urban with Significant Rural,Y,4
E07000092,Predominantly Urban,N,4
E07000093,Urban with Significant Rural,N,5
E07000094,Predominantly Rural,N,5
E07000095,Predominantly Urban,N,3
E07000096,Urban with Significant Rural,N,4
E07000098,Predominantly Urban,N,4
E07000099,Urban with Significant Rural,N,5
E07000102,Predominantly Urban,N,5
E07000103,Predominantly Urban,N,4
E07000105,Urban with Significant Rural,N,3
E07000106,Predominantly Urban,Y,3
E07000107,Predominantly Urban,N,3
E07000108,Urban with Significant Rural,Y,2
E07000109,Predominantly Urban,N,2
E07000110,Urban with Significant Rural,N,3
E07000111,Predominantly Rural,N,4
E07000112,Urban with Significant Rural,Y,2
E07000113,Predominantly Rural,Y,1
E07000114,Predominantly Urban,Y,1
E07000115,Urban with Significant Rural,N,4
E07000116,Urban with Significant Rural,N,5
E07000117,Predominantly Urban,N,1
E07000118,Urban with Significant Rural,N,3
E07000119,Predominantly Urban,Y,4
E07000120,Predominantly Urban,N,1
E07000121,Urban with Significant Rural,Y,2
E07000122,Predominantly Urban,N,1
E07000123,Predominantly Urban,N,1
E07000124,Predominantly Rural,N,5
E07000125,Predominantly Urban,N,2
E07000126,Predominantly Urban,N,4
E07000127,Urban with Significant Rural,Y,3
E07000128,Predominantly Rural,Y,3
E07000129,Predominantly Urban,N,5
E07000130,Predominantly Urban,N,4
E07000131,Predominantly Rural,N,5
E07000132,Predominantly Rural,N,4
E07000133,Predominantly Rural,N,4
E07000134,Predominantly Rural,N,4
E07000135,Predominantly Urban,N,4
E07000136,Urban with Significant Rural,N,2
E07000137,Predominantly Rural,Y,1
E07000138,Predominantly Urban,N,1
E07000139,Predominantly Rural,N,5
E07000140,Predominantly Rural,N,3
E07000141,Predominantly Rural,N,4
E07000142,Predominantly Rural,N,3
E07000143,Predominantly Rural,N,3
E07000144,Urban with Significant Rural,N,5
E07000145,Urban with Significant Rural,Y,1
E07000146,Predominantly Rural,Y,2
E07000147,Predominantly Rural,Y,2
E07000148,Predominantly Urban,N,1
E07000149,Predominantly Rural,N,4
E07000163,Predominantly Rural,N,4
E07000164,Predominantly Rural,N,5
E07000165,Urban with Significant Rural,N,5
E07000166,Predominantly Rural,N,5
E07000167,Predominantly Rural,N,4
E07000168,Urban with Significant Rural,Y,2
E07000169,Predominantly Rural,N,4
E07000170,Predominantly Urban,N,2
E07000171,Predominantly Rural,N,2
E07000172,Predominantly Urban,N,4
E07000173,Predominantly Urban,N,4
E07000174,Predominantly Urban,N,1
E07000175,Predominantly Rural,N,3
E07000176,Predominantly Rural,N,5
E07000177,Urban with Significant Rural,N,4
E07000178,Predominantly Urban,N,3
E07000179,Predominantly Rural,N,5
E07000180,Predominantly Rural,N,5
E07000181,Predominantly Rural,N,5
E07000187,Predominantly Rural,N,3
E07000188,Predominantly Rural,Y,2
E07000189,Predominantly Rural,N,3
E07000192,Urban with Significant Rural,N,3
E07000193,Urban with Significant Rural,N,3
E07000194,Urban with Significant Rural,N,4
E07000195,Predominantly Urban,N,3
E07000196,Urban with Significant Rural,N,4
E07000197,Urban with Significant Rural,N,4
E07000198,Predominantly Rural,N,4
E07000199,Predominantly Urban,N,2
E07000200,Predominantly Rural,N,4
E07000202,Predominantly Urban,N,2
E07000203,Predominantly Rural,N,4
E07000207,Predominantly Urban,N,5
E07000208,Predominantly Urban,N,5
E07000209,Predominantly Urban,N,5
E07000210,Urban with Significant Rural,N,5
E07000211,Predominantly Urban,N,5
E07000212,Predominantly Urban,N,5
E07000213,Predominantly Urban,N,4
E07000214,Predominantly Urban,N,5
E07000215,Urban with Significant Rural,N,5
E07000216,Predominantly Rural,N,5
E07000217,Predominantly Urban,N,5
E07000218,Predominantly Rural,N,3
E07000219,Predominantly Urban,N,2
E07000220,Predominantly Urban,N,4
E07000221,Predominantly Rural,N,5
E07000222,Predominantly Urban,N,5
E07000223,Predominantly Urban,Y,3
E07000224,Predominantly Urban,Y,3
E07000225,Predominantly Rural,Y,4
E07000226,Predominantly Urban,N,3
E07000227,Predominantly Rural,N,5
E07000228,Predominantly Urban,N,5
E07000229,Predominantly Urban,Y,3
E07000234,Predominantly Urban,N,5
E07000235,Predominantly Rural,N,4
E07000236,Predominantly Urban,N,2
E07000237,Predominantly Urban,N,3
E07000238,Predominantly Rural,N,4
E07000239,Urban with Significant Rural,N,2
E07000240,Predominantly Urban,N,5
E07000241,Predominantly Urban,N,4
E07000242,Urban with Significant Rural,N,5
E07000243,Predominantly Urban,N,3
E07000244,Predominantly Rural,Y,3
E07000245,Predominantly Rural,N,3
E07000246,Predominantly Rural,Y,3
E08000001,Predominantly Urban,N,1
E08000002,Predominantly Urban,N,2
E08000003,Predominantly Urban,N,1
E08000004,Predominantly Urban,N,1
E08000005,Predominantly Urban,N,1
E08000006,Predominantly Urban,N,1
E08000007,Predominantly Urban,N,3
E08000008,Predominantly Urban,N,1
E08000009,Predominantly Urban,N,4
E08000010,Predominantly Urban,N,2
E08000011,Predominantly Urban,N,1
E08000012,Predominantly Urban,Y,1
E08000013,Predominantly Urban,N,1
E08000014,Predominantly Urban,Y,1
E08000015,Predominantly Urban,Y,1
E08000016,Predominantly Urban,N,1
E08000017,Predominantly Urban,N,1
E08000018,Predominantly Urban,N,1
E08000019,Predominantly Urban,N,1
E08000021,Predominantly Urban,N,1
E08000022,Predominantly Urban,Y,2
E08000023,Predominantly Urban,Y,1
E08000024,Predominantly Urban,Y,1
E08000025,Predominantly Urban,N,1
E08000026,Predominantly Urban,N,2
E08000027,Predominantly Urban,N,2
E08000028,Predominantly Urban,N,1
E08000029,Predominantly Urban,N,3
E08000030,Predominantly Urban,N,1
E08000031,Predominantly Urban,N,1
E08000032,Predominantly Urban,N,1
E08000033,Predominantly Urban,N,2
E08000034,Predominantly Urban,N,2
E08000035,Predominantly Urban,N,1
E08000036,Predominantly Urban,N,1
E08000037,Predominantly Urban,N,1
E09000001,Predominantly Urban,N,4
E09000002,Predominantly Urban,N,1
E09000003,Predominantly Urban,N,3
E09000004,Predominantly Urban,N,3
E09000005,Predominantly Urban,N,2
E09000006,Predominantly Urban,N,4
E09000007,Predominantly Urban,N,3
E09000008,Predominantly Urban,N,2
E09000009,Predominantly Urban,N,2
E09000010,Predominantly Urban,N,2
E09000011,Predominantly Urban,N,2
E09000012,Predominantly Urban,N,1
E09000013,Predominantly Urban,N,2
E09000014,Predominantly Urban,N,1
E09000015,Predominantly Urban,N,4
E09000016,Predominantly Urban,N,3
E09000017,Predominantly Urban,N,3
E09000018,Predominantly Urban,N,2
E09000019,Predominantly Urban,N,1
E09000020,Predominantly Urban,N,2
E09000021,Predominantly Urban,N,5
E09000022,Predominantly Urban,N,2
E09000023,Predominantly Urban,N,1
E09000024,Predominantly Urban,N,4
E09000025,Predominantly Urban,N,1
E09000026,Predominantly Urban,N,3
E09000027,Predominantly Urban,N,5
E09000028,Predominantly Urban,N,2
E09000029,Predominantly Urban,N,4
E09000030,Predominantly Urban,N,1
E09000031,Predominantly Urban,N,2
E09000032,Predominantly Urban,N,3
E09000033,Predominantly Urban,N,3
N09000001,Northern Ireland,,
N09000002,Northern Ireland,,
N09000003,Northern Ireland,,
N09000004,Northern Ireland,,
N09000005,Northern Ireland,,
N09000006,Northern Ireland,,
N09000007,Northern Ireland,,
N09000008,Northern Ireland,,
N09000009,Northern Ireland,,
N09000010,Northern Ireland,,
N09000011,Northern Ireland,,
S12000005,Scotland,,
S12000006,Scotland,,
S12000008,Scotland,,
S12000010,Scotland,,
S12000011,Scotland,,
S12000013,Scotland,,
S12000014,Scotland,,
S12000017,Scotland,,
S12000018,Scotland,,
S12000019,Scotland,,
S12000020,Scotland,,
S12000021,Scotland,,
S12000023,Scotland,,
S12000026,Scotland,,
S12000027,Scotland,,
S12000028,Scotland,,
S12000029,Scotland,,
S12000030,Scotland,,
S12000033,Scotland,,
S12000034,Scotland,,
S12000035,Scotland,,
S12000036,Scotland,,
S12000038,Scotland,,
S12000039,Scotland,,
S12000040,Scotland,,
S12000041,Scotland,,
S12000042,Scotland,,
S12000045,Scotland,,
S12000047,Scotland,,
S12000048,Scotland,,
S12000049,Scotland,,
S12000050,Scotland,,
W06000001,Wales,,
W06000002,Wales,,
W06000003,Wales,,
W06000004,Wales,,
W06000005,Wales,,
W06000006,Wales,,
W06000008,Wales,,
W06000009,Wales,,
W06000010,Wales,,
W06000011,Wales,,
W06000012,Wales,,
W06000013,Wales,,
W06000014,Wales,,
W06000015,Wales,,
W06000016,Wales,,
W06000018,Wales,,
W06000019,Wales,,
W06000020,Wales,,
W06000021,Wales,,
W06000022,Wales,,
W06000023,Wales,,
W06000024,Wales,,
